program,cat1_tuition_inr,cat2_tuition_inr,caution_deposit_inr,total_cat1_inr,total_cat2_inr
M.Tech. Biomedical Engineering,150000.0,230000.0,3000,153000.0,233000.0
M.Tech. CAD / CAM,150000.0,230000.0,3000,153000.0,233000.0
M.Tech. Construction Technology and Management,150000.0,230000.0,3000,153000.0,233000.0
M.Tech. Control and Automation,150000.0,230000.0,3000,153000.0,233000.0
M.Tech. Electric Mobility,150000.0,230000.0,3000,153000.0,233000.0
M.Tech. Mechatronics,150000.0,230000.0,3000,153000.0,233000.0
M.Tech. Power Electronics and Drives,150000.0,230000.0,3000,153000.0,233000.0
M.Tech. Structural Engineering,150000.0,230000.0,3000,153000.0,233000.0
M.Tech. Applied Computational Fluid Dynamics,150000.0,,3000,153000.0,
M.Tech. Automotive Electronics,180000.0,260000.0,3000,183000.0,263000.0
M.Tech. Smart Mobility,180000.0,260000.0,3000,183000.0,263000.0
M.Tech. Biotechnology,180000.0,296000.0,3000,183000.0,299000.0
M.Tech. Electronics & Communication Engineering (Intelligent Communication Systems),180000.0,260000.0,3000,183000.0,263000.0
M.Tech. Smart Manufacturing,180000.0,260000.0,3000,183000.0,263000.0
M.Tech. Artificial Intelligence and Data Science,190000.0,299000.0,3000,193000.0,302000.0
M.Tech. Computer Science and Engineering,190000.0,299000.0,3000,193000.0,302000.0
M.Tech. CSE (Artificial Intelligence and Machine Learning),190000.0,299000.0,3000,193000.0,302000.0
M.Tech. CSE (Big Data Analytics),190000.0,299000.0,3000,193000.0,302000.0
M.Tech. CSE (Cyber Security & Digital Forensics),190000.0,299000.0,3000,193000.0,302000.0
M.Tech. CSE (Cyber Security),190000.0,299000.0,3000,193000.0,302000.0
M.Tech. AI & ML (In collaboration with LTIMindtree),,320000.0,3000,,323000.0
M.Tech. AI & DS (In collaboration with LTIMindtree),,320000.0,3000,,323000.0
M.Tech. Embedded Systems,190000.0,299000.0,3000,193000.0,302000.0
M.Tech. VLSI Design,190000.0,299000.0,3000,193000.0,302000.0
