level,name,program,criteria,amount,currency,source_file
UG,GVSD District Scholarship,B.Sc. (Hospitality and Hotel Administration),Completed Higher Secondary Education in Vellore / Ranipet / Tirupattur / Tiruvannamalai districts,10000,INR,Academic Fee.pdf
UG,GVSD District Scholarship,BCA,Completed Higher Secondary Education in Vellore / Ranipet / Tirupattur / Tiruvannamalai districts,10000,INR,Academic Fee.pdf
UG,GVSD District Scholarship,B.Sc. (Computer Science),Completed Higher Secondary Education in Vellore / Ranipet / Tirupattur / Tiruvannamalai districts,10000,INR,Academic Fee.pdf
UG,GVSD District Scholarship,B.Com,Completed Higher Secondary Education in Vellore / Ranipet / Tirupattur / Tiruvannamalai districts,10000,INR,Academic Fee.pdf
UG,GVSD District Scholarship,B.Com (Business Process Services),Completed Higher Secondary Education in Vellore / Ranipet / Tirupattur / Tiruvannamalai districts,10000,INR,Academic Fee.pdf
UG,GVSD District Scholarship,B.Com (Banking And Capital Markets),Completed Higher Secondary Education in Vellore / Ranipet / Tirupattur / Tiruvannamalai districts,10000,INR,Academic Fee.pdf
UG,GVSD District Scholarship,B.Com (Financial Technology),Completed Higher Secondary Education in Vellore / Ranipet / Tirupattur / Tiruvannamalai districts,10000,INR,Academic Fee.pdf
UG,GVSD District Scholarship,BBA,Completed Higher Secondary Education in Vellore / Ranipet / Tirupattur / Tiruvannamalai districts,10000,INR,Academic Fee.pdf
UG,GVSD District Scholarship,B.Sc. (Multimedia and Animation),Completed Higher Secondary Education in Vellore / Ranipet / Tirupattur / Tiruvannamalai districts,10000,INR,Academic Fee.pdf
UG,GVSD District Scholarship,B.Sc. Visual Communication,Completed Higher Secondary Education in Vellore / Ranipet / Tirupattur / Tiruvannamalai districts,10000,INR,Academic Fee.pdf
